City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
345,2020-04-09 13:49:48,AU,Mount Gambier,-37.83,140.77,51.8,93,6.93,0
346,2020-04-09 13:49:48,TG,Aného,6.23,1.6,91.4,59,12.75,20
347,2020-04-09 13:49:48,CN,Yakeshi,49.28,120.73,35.6,54,3.96,0
348,2020-04-09 13:39:22,CA,Vancouver,49.25,-123.12,44.01,93,3.36,20
349,2020-04-09 13:49:48,AR,Río Cuarto,-33.13,-64.35,57.2,62,16.11,0
350,2020-04-09 13:49:49,PH,Marawi,8.0,124.29,70.34,71,1.59,100
351,2020-04-09 13:49:49,CA,Harbour Breton,47.48,-55.8,29.14,90,8.97,0
352,2020-04-09 13:49:49,RE,Saint-Joseph,-21.37,55.62,84.2,69,5.82,75
353,2020-04-09 13:49:49,ZM,Nchelenge,-9.35,28.73,77.52,59,2.42,65
354,2020-04-09 13:49:49,BJ,Lokossa,6.64,1.72,93.2,45,12.3,43
355,2020-04-09 13:49:49,NA,Lüderitz,-26.65,15.16,80.6,32,17.22,0
356,2020-04-09 13:45:48,UA,Yalta,44.5,34.17,57.24,40,2.57,0
357,2020-04-09 13:49:49,IR,Dehlorān,32.69,47.27,84.72,29,19.77,73
358,2020-04-09 13:48:37,CL,San Bernardo,-33.6,-70.72,61.0,87,5.55,75
359,2020-04-09 13:48:13,CL,Coyhaique,-45.58,-72.07,44.6,87,5.82,100
360,2020-04-09 13:49:50,PT,Ponta do Sol,32.67,-17.1,68.0,88,6.93,40
361,2020-04-09 13:49:50,US,Kenai,60.55,-151.26,24.01,72,2.3,1
362,2020-04-09 13:49:50,NI,Siuna,13.73,-84.78,83.41,54,3.02,99
363,2020-04-09 13:49:50,IN,Verāval,20.9,70.37,77.18,79,10.0,0
364,2020-04-09 13:47:30,US,Saint George,37.1,-113.58,45.0,81,1.19,1
365,2020-04-09 13:49:50,AR,Concepción del Uruguay,-32.48,-58.24,64.0,64,1.99,0
366,2020-04-09 13:49:50,NZ,Kaitangata,-46.28,169.85,50.0,79,12.26,98
367,2020-04-09 13:49:50,LV,Daugavpils,55.88,26.53,48.02,76,13.27,96
368,2020-04-09 13:49:50,CL,Constitución,-35.33,-72.42,61.75,59,4.94,54
369,2020-04-09 13:49:50,JM,Morant Bay,17.88,-76.41,84.2,70,4.7,20
